76;2023-06-30 17:10:53.000075;2023-06-30 17:10:53.000075;26;14;;France;D;Hernandez T.;Milan
77;2023-06-30 17:10:53.000076;2023-06-30 17:10:53.000076;20;14;;Italy;D;Udogie;Udinese
78;2023-06-30 17:10:53.000077;2023-06-30 17:10:53.000077;26;14;;Italy;D;Ebuehi;Empoli
79;2023-06-30 17:10:53.000078;2023-06-30 17:10:53.000078;24;14;;Italy;D;Mazzocchi;Salernitana
80;2023-06-30 17:10:53.000079;2023-06-30 17:10:53.000079;19;14;;Italy;D;Valeri;Cremonese
81;2023-06-30 17:10:53.000080;2023-06-30 17:10:53.000080;38;13;;Kosovo;D;Rrahmani;Napoli
82;2023-06-30 17:10:53.000081;2023-06-30 17:10:53.000081;26;13;;Italy;D;Zanoli;Sampdoria
83;2023-06-30 17:10:53.000082;2023-06-30 17:10:53.000082;34;13;;Scotland;D;Doig;Verona
84;2023-06-30 17:10:53.000083;2023-06-30 17:10:53.000083;29;12;;Germany;D;Gosens;Inter
85;2023-06-30 17:10:53.000084;2023-06-30 17:10:53.000084;21;12;;Italy;D;Buongiorno;Torino
86;2023-06-30 17:10:53.000085;2023-06-30 17:10:53.000085;25;12;;Brazil;D;Bremer;Juventus
87;2023-06-30 17:10:53.000086;2023-06-30 17:10:53.000086;21;12;;Italy;D;Baschirotto;Lecce
88;2023-06-30 17:10:53.000087;2023-06-30 17:10:53.000087;33;12;;Netherlands;D;Schuurs;Torino
89;2023-06-30 17:10:53.000088;2023-06-30 17:10:53.000088;38;11;;Italy;D;Spinazzola;Roma
90;2023-06-30 17:10:53.000089;2023-06-30 17:10:53.000089;34;11;;Italy;D;Mancini;Roma
91;2023-06-30 17:10:53.000090;2023-06-30 17:10:53.000090;25;11;;England;D;Tomori;Milan
92;2023-06-30 17:10:53.000091;2023-06-30 17:10:53.000091;25;11;;Italy;D;Parisi;Empoli
93;2023-06-30 17:10:53.000092;2023-06-30 17:10:53.000092;28;11;;Uruguay;D;Olivera;Napoli
